id,title,release_date,popularity,vote_average,vote_count,release_year,release_month,film_age,log_vote_count,log_popularity,engagement_ratio,log_engagement,votes_per_year,popularity_per_year,language_rarity,original_language_cn,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_ko,original_language_other,original_language_zh,genre_10752,genre_12,genre_14,genre_16,genre_18,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_9648,genre_53,genre_80,genre_99,genre_878,genre_10749,genre_10751,genre_count,trend_score,popularity_score
1192548,Hannah Waddingham: Home for Christmas,2023-11-21,30.8326,6.147,17,2023,11,3,2.8903717578961645,3.4604909219040123,0.5340437161903206,0.42790720070739613,4.25,7.70815,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.70815,524.1542
858024,Hamnet,2025-11-26,30.7017,7.729,1236,2025,11,1,7.1204443723924875,3.4563703072055705,38.98844541459922,3.688590547749492,618.0,15.35085,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,15.35085,37947.3012
1117857,In Your Dreams,2025-11-07,30.484,6.973,204,2025,11,1,5.3230099791384085,3.449479480280204,6.479481641468682,2.012163490316188,102.0,15.242,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,15.242,6218.736000000001
1011985,Kung Fu Panda 4,2024-03-02,30.3157,7.0,3451,2024,3,2,8.146709052203319,3.4441195692322504,110.20031485804245,4.71133321326969,1150.3333333333333,10.105233333333333,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,10.105233333333333,104619.4807
533535,Deadpool & Wolverine,2024-07-24,30.2776,7.558,8476,2024,7,2,9.045111892608405,3.442902186390783,270.99265928332096,5.60577507800285,2825.3333333333335,10.092533333333334,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,10.092533333333334,256632.9376
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,29.82,6.8,264,2025,12,1,5.579729825986222,3.42816382989197,8.565866320571057,2.2582011707271623,132.0,14.91,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,14.91,7872.4800000000005
1233413,Sinners,2025-04-16,29.7341,7.5,4335,2025,4,1,8.374707543119483,3.425372787353363,141.04854217302605,4.956168845474046,2167.5,14.86705,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,14.86705,128897.32350000001
76600,Avatar: The Way of Water,2022-12-14,29.4732,7.593,13969,2022,12,4,9.544667452251007,3.4168476088157216,458.40279327409,6.129927370502273,2793.8,5.89464,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,5.89464,411711.1308
1306368,The Rip,2026-01-13,29.4375,7.056,1508,2026,1,0,7.319202458767849,3.4156754008428085,49.544147843942504,3.922847169109711,1508.0,29.4375,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,29.4375,44391.75
1241470,Osiris,2025-07-25,29.2984,5.989,223,2025,7,1,5.4116460518550396,3.4110949058405473,7.360124627043012,2.123473334526524,111.5,14.6492,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,14.6492,6533.5432
