id,title,release_date,popularity,vote_average,vote_count,genre_ids,original_language
939243,Sonic the Hedgehog 3,2024-12-19,21.8189,7.613,3215,28|878|35|10751,en
137051,Midnight Matinee,1988-10-12,21.5865,5.0,6,27|9648|53|10770,en
1242332,Normal,2026-04-16,21.5537,6.8,11,28|80|53,en
1196067,Worldbreaker,2025-10-30,21.5484,5.948,135,878|28|27,en
244786,Whiplash,2014-10-10,21.4526,8.375,16497,18|10402|53,en
1317288,Marty Supreme,2025-12-19,21.2574,7.406,1580,18|53,en
1631917,18th Rose,2026-04-09,21.1898,6.0,10,18|10749,tl
1315303,Primate,2026-01-01,21.1606,6.469,564,27|53,en
1137861,Maalai Nera Malipoo,2023-06-09,21.1473,6.5,2,18,ta
652,Troy,2004-05-13,21.1263,7.168,10948,10752|28|36,en
862,Toy Story,1995-11-22,21.1087,7.971,19737,10751|35|16|12,en
4935,Howl's Moving Castle,2004-09-09,21.0203,8.388,10961,14|16|12,ja
617126,The Fantastic 4: First Steps,2025-07-23,20.9663,6.959,3205,878|12|28,en
1579,Apocalypto,2006-12-07,20.9446,7.597,6188,28|18|36,en
1197306,A Working Man,2025-03-26,20.907,6.685,1848,28|80|53,en
552524,Lilo & Stitch,2025-05-17,20.8579,7.194,2112,10751|878|35,en
429617,Spider-Man: Far From Home,2019-06-28,20.8112,7.397,16831,28|12|878,en
438631,Dune,2021-09-15,20.7337,7.78,14715,878|12,en
102382,The Amazing Spider-Man 2,2014-04-16,20.7097,6.532,14120,28|12|878,en
232078,Triple Crossed,2013-11-12,20.7064,4.1,30,9648,en
574475,Final Destination Bloodlines,2025-05-14,20.7001,7.05,2768,27|9648,en
269149,Zootopia,2016-02-11,20.6908,7.8,17953,16|12|10751|35,en
1426297,Play Dead,2025-03-29,20.6649,5.925,40,27,es
67395,L.E.T.H.A.L. Ladies: Return to Savage Beach,1998-01-27,20.6418,6.0,225,28|53,en
980477,Ne Zha 2,2025-01-29,20.5953,8.118,646,16|14|12,zh
1321179,The King's Warden,2026-02-04,20.3297,6.9,10,36|18,ko
564,The Mummy,1999-04-16,20.1816,6.965,9886,12|28|14,en
7131,Van Helsing,2004-05-03,20.0402,6.398,6560,27|12|28,en
1292695,They Will Kill You,2026-03-25,20.0013,6.563,135,28|27|35,en
85,Raiders of the Lost Ark,1981-06-12,19.9899,7.924,13534,12|28,en
950396,The Gorge,2025-02-13,19.8201,7.617,3590,10749|878|53,en
766507,Prey,2022-08-02,19.7548,7.662,7621,53|28|878,en
11,Star Wars,1977-05-25,19.6707,8.203,22167,12|28|878,en
670,Oldboy,2003-11-21,19.5548,8.239,9731,18|53|9648|28,ko
559,Spider-Man 3,2007-05-01,19.5295,6.454,15098,28|12|878,en
1480382,The Voice of Hind Rajab,2025-09-10,19.4474,8.0,261,18,ar
292238,Horrible High Heels,1996-01-06,19.421,4.2,12,27,cn
1497970,Tom and Jerry: Forbidden Compass,2025-08-02,19.3546,6.2,32,16|35|10751|14|12,zh
11324,Shutter Island,2010-02-14,19.3532,8.2,25670,18|53|9648,en
560016,Monkey Man,2024-04-03,19.2814,6.9,1372,28|53,en
1601243,Oscar Shaw,2026-01-09,19.2524,6.483,29,28|80|53|37,en
541671,Ballerina,2025-06-04,19.2352,7.239,2487,28|53|80,en
337404,Cruella,2021-05-26,19.2303,7.973,9985,35|80|18,en
106646,The Wolf of Wall Street,2013-12-25,19.2282,8.028,25747,80|18|35,en
585,"Monsters, Inc.",2001-11-01,19.1521,7.8,19646,16|35|10751,en
210577,Gone Girl,2014-10-01,19.0788,7.889,19827,9648|53|18,en
286687,Love Lesson,2013-12-05,19.0651,6.8,42,10749|18|35,ko
672,Harry Potter and the Chamber of Secrets,2002-11-13,19.0305,7.7,23444,12|14,en
931285,Mortal Kombat II,2026-05-06,18.9883,0.0,0,28|14|12,en
101,Léon: The Professional,1994-09-14,18.9842,8.295,15970,80|18|28,fr
674,Harry Potter and the Goblet of Fire,2005-11-16,18.9106,7.8,22023,12|14,en
150540,Inside Out,2015-06-17,18.8403,7.91,23340,16|10751|12|18|35,en
